OBJECTID_1,OBJECTID,ROADWAY,BEGIN_POST,END_POST,CCTXTCLS,URBAREA,FUNCLASS,TYPEROAD,USROUTE,STROADNO,MNG_DIST_C,CONTYDOT,AADT_2024,NOLANES_To,MAXSPEED_M,IsSignaliz,IsIntercha,Countermea,Counterme1,Counterme2,Counterme3,LocationID,LocationSt,CrashModif,CostScenar,CostEstima,TotalLives,Crash_Save,Crash_Sav1,Crash_Sav2,Crash_Sav3,Benefit_Al,Benefit_KA,CostPerLif,CrashSavin,Crash_Sav4,CostBenefi,PresentVal,PresentVa1,NetPresent,Counterme4,Interchang,FDOT Manag,FDOT Count,Intersecti,Intersect1,Entering V,Avg Annual,Avg Annua1,Crash Inte,Signalized,Counterme5,Serious In,Intersect2,Match_Stat,Matched_ID,Match_Cnt,Ovl_Ft,Ovl_Mi,Ovl_Pct,Ang_Dif,Min_Ft,QC_Flag,WP_IDs,WP_Count
90353,205914,86190500,0.256,0.561,SUBURBAN COMMERCIAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  823,4,BROWARD,53500,6,45,1,1,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04900,Potential Location,0.850000024,1,14322.55295625,0.00191346772915197,0.00071755039843199,0.00401828223121914,0.00629052515958711,0.0244923869331452,5937.08839182537,,7485129.08686346,0.357100914952987,0.0357100914952987,3.36218726689367,48155.1051789141,14322.55295625,46722.8498832891,,N,4,86,86190500 = .347,INTERCHANGE PARK|MARKS WAY|RED RD,28500,57000,,IS|U|3|D,Y,10,0.0478367008826714,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
110205,266475,93004000,1.26,1.278,URBAN GENERAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR  808,4,PALM BEACH,46000,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04121,Potential Location,0.850000024,1,14322.55295625,0.00191973350511603,0.000719900064418511,0.00403144036074366,0.00631112389806895,0.0245725888654852,4428.14882619549,,7460698.5386674,0.358270265392279,0.0358270265392279,2.50767120459987,35916.2536247449,14322.55295625,34483.9983291199,,N,4,93,93004000 = 1.271,BOCA LAKE DR|GLADES RD,22750,45500,,IS|U|3|D,Y,10,0.047993345306836,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
82818,172966,78051000,16.34,16.472,SUBURBAN COMMERCIAL,ST. AUGUSTINE,URBAN PRIN ART OTHER,DIVIDED,,SR  207,2,ST. JOHNS,36500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01299,Potential Location,0.850000024,1,18619.318843125,0.00193309672823144,0.000724911273086792,0.00405950312928603,0.00635505549406087,0.0247436381213625,7270.37222793744,,9631860.92615215,0.360764176906193,0.0360764176906193,3.16709928621753,58969.2314179178,18619.318843125,57536.9761222928,,N,2,78,78002900 = .006|78051000 = 16.448|78A04562 = .008,SR-207|SR-312|WHISPERING WOODS LN,38300,34000,31500,IS|U|3|D,Y,10,0.0483274259381742,On-System / On-System,On Corridor,432448-2,1,697,0.13,100,0,1.1,Verified Match,432448-2,1
80485,158655,75260000,3.32565001228836,3.485,SUBURBAN RESIDENTIAL,ORLANDO,URBAN MINOR ART,DIVIDED,,SR  424,5,ORANGE,19600,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04296,Potential Location,0.850000024,1,17187.0635475,0.0019431002658386,0.000728662599689475,0.00408051055826106,0.00638794212394439,0.0248716834027341,4475.08519361593,,8845175.85101685,0.362631087112129,0.0362631087112129,2.11187615085262,36296.9496091536,17187.0635475,34864.6943135286,,N,5,75,75006001 = .03|75260000 = 3.479,EDGEWATER DR|GALLIHER CIR|W FAIRBANKS AVE,20900,23500,18300,IS|U|3|D,Y,10,0.0485775144183673,On-System / On-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
98603,221095,87001000,4.716,4.764,SUBURBAN COMMERCIAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,,SR   94,6,MIAMI-DADE,68500,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02939,Potential Location,0.850000024,1,17187.0635475,0.00194846456190053,0.0007306742107127,0.00409177557999112,0.00640557724724801,0.0249403463923268,6045.67621188452,,8820824.29599629,0.363632198864687,0.0363632198864687,2.85306733956039,49035.8496703212,17187.0635475,47603.5943746962,,N,6,87,87001000 = 4.764|87A01879 = .012,SW 130TH AVE|SW 132ND AVE|SW 88TH ST,33000,66000,,IS|U|3|D,Y,10,0.0487116218413728,On-System / Off-System,On Corridor,437784-1,1,253,0.05,100,0,0.1,Verified Match,437784-1,1
68987,143543,72160000,6.013,6.03,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR   13,2,DUVAL,50500,5,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03268,Potential Location,0.850000024,1,21483.829434375,0.00195219659431658,0.000732073722868719,0.00409961284806483,0.00641784630381577,0.0249881164072523,7342.20677916022,,11004951.8050184,0.364328689414333,0.0364328689414333,2.77193943277901,59551.8739762425,21483.829434375,58119.6186806175,,N,2,72,72028000 = .032|72160000 = 6.017|72A12095 = .301,BAYMEADOWS RD|HOLLY GROVE AVE|SAN JOSE BLVD,54000,51500,20000,IS|U|3|D,Y,10,0.0488049226667022,On-System / On-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
57875,113449,55003000,9.27,9.288,SUBURBAN COMMERCIAL,TALLAHASSEE,URBAN PRIN ART OTHER,DIVIDED,US  319,SR  261,3,LEON,58000,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03514,Potential Location,0.850000024,1,34374.127095,0.00195376929220716,0.000732663484577685,0.00410291551363504,0.00642301654813104,0.0250082469402517,6062.13567563476,,17593749.2886726,0.364622194158161,0.0364622194158161,1.43041743371385,49169.3506653835,34374.127095,47737.0953697585,,N,3,55,55003000 = 9.275|55130000 = 2.122|55130002 = .07|55130003 = .034,CAPITAL CIR NE|CENTERVILLE RD,75250,53500,21500,IS|U|3|D,Y,10,0.0488442401202574,On-System / On-System,On Corridor,"452946-1, 445251-2",2,95,0.02,100,1.1,0.2,Verified Match,"452946-1, 445251-2",2
96624,205359,86100000,15.339,15.385,URBAN GENERAL,MIAMI,URBAN PRIN ART OTHER,DIVIDED,US  441,SR    7,4,BROWARD,46500,6,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04264,Potential Location,0.850000024,1,24348.340025625,0.00195537954372744,0.000733267328897791,0.00410629704182763,0.00642831025000397,0.0250288581597113,4510.37167828147,,12451976.4481176,0.364922707348134,0.0364922707348134,1.50249070656128,36583.1546086956,24348.340025625,35150.8993130706,,N,4,86,86100000 = 15.377|86518500 = .007,NW 56TH ST|SR-7|W PROSPECT RD,51400,50000,12800,IS|U|3|D,Y,10,0.0488844964147055,On-System / On-System,On Corridor,"443845-1, 457381-1",2,244,0.05,100,0.2,0.6,Verified Match,"443845-1, 457381-1",2
40705,90731,29010000,12.1338684071791,12.48,SUBURBAN COMMERCIAL,LAKE CITY,URBAN MINOR ART,DIVIDED,US   90,SR   10,2,COLUMBIA,7200,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02884,Potential Location,0.850000024,1,17187.0635475,0.0035771422354412,0.00150910688057676,0.00598612395962113,0.0108292391893239,0.0352152885224957,12143.9090784257,,4804691.12388543,0.538974727755617,0.0538974727755617,5.73093714448978,98497.9808890741,17187.0635475,97065.7255934491,,N,2,29,29002000 = 3.442|29010000 = 12.464,E US-90|SE BAYA DR,10700,10600,4500,IS|U|3|D,Y,10,0.100607141468926,On-System / On-System,On Corridor,208366-5,1,1825,0.35,100,0,0.9,Verified Match,208366-5,1
101458,225064,87061000,0.06,0.101,URBAN CORE,MIAMI,URBAN MINOR ART,DIVIDED,,SR  886,6,MIAMI-DADE,11200,6,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04372,Potential Location,0.850000024,1,11458.042365,0.0035904317619632,0.00151471339957823,0.0060083631516603,0.0108694711543808,0.0353461176816393,6686.36858302591,,3191271.44717962,0.54097708563455,0.054097708563455,4.73313302496913,54232.4387192769,11458.042365,52800.1834236519,,N,6,87,87061000 = .088|87A36965 = .03,PORT BLVD,2300,4600,,IS|U|3|D,Y,10,0.100980909462161,On-System / Off-System,On Corridor,443913-1,1,215,0.04,100,1.2,0.4,Verified Match,443913-1,1
85996,180725,79080000,9.015,9.076,URBAN GENERAL,DAYTONA BEACH-PORT ORANGE,URBAN PRIN ART OTHER,DIVIDED,,SR  A1A,5,VOLUSIA,10900,2,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04693,Potential Location,0.850000024,1,5729.0211825,0.00360277903938772,0.00151992240724169,0.00602902554872538,0.0109068506075214,0.0354676708400974,5848.09666493424,,1590167.23475599,0.542837473075246,0.0542837473075246,8.27947760112429,47433.3025568753,5729.0211825,46001.0472612503,,N,5,79,79080000 = 9.017,OCEAN SHORE BLVD,15900,16300,,IS|U|1|U,Y,10,0.101328176695288,On-System / Off-System,On Corridor,442874-2,1,323,0.06,100,0.2,0.6,Verified Match,442874-2,1
77547,169535,76050000,11.15,11.175,SUBURBAN COMMERCIAL,,RURAL PRIN ART OTHER,DIVIDED,,SR   20,2,PUTNAM,8900,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02042,Potential Location,0.850000024,1,8593.53177375,0.00364716570876489,0.00153864803338519,0.00610330386576124,0.0110412243136437,0.0359046367938644,12381.6292017614,,2356221.91585591,0.54952529577531,0.054952529577531,11.6862434070319,100426.104034105,8593.53177375,98993.8487384804,,N,2,76,76050000 = 11.167,OLD GAINESVILLE HWY|SR-20|WILLIAMS DR,3900,7800,,IS|U|3|D,Y,10,0.102576551971261,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
37897,86436,29030000,22.42,22.465,SUBURBAN COMMERCIAL,LAKE CITY,URBAN PRIN ART OTHER,DIVIDED,US   41,SR   25,2,COLUMBIA,10100,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02145,Potential Location,0.850000024,1,11458.042365,0.0038080762269782,0.00160653215825643,0.00637257756108383,0.011528355765266,0.037488725418869,12927.8984229247,,3008879.46617924,0.573769985261731,0.0573769985261731,9.15137450309387,104856.83675443,11458.042365,103424.581458805,,N,2,29,29030000 = 22.459|29A03772 = 0,PROFESSIONAL DR|SW MAIN BLVD,5600,11200,,IS|U|3|D,Y,10,0.107102161020108,On-System / Off-System,Off Corridor,,0,0,0,0,44.8,156.2,No Match - Angle Mismatch,,0
13241,29230,10270000,2.874,3.362,URBAN GENERAL,TAMPA-ST PETERSBURG,URBAN PRIN ART OTHER,DIVIDED,,SR   60,7,HILLSBOROUGH,31000,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01970,Potential Location,0.850000024,1,11458.042365,0.0038436391899324,0.00162153528325273,0.0064320899569025,0.0116360170788969,0.0378388261190142,7146.7909898553,,2981040.05053646,0.579128323570596,0.0579128323570596,5.05905590405363,57966.8768755499,11458.042365,56534.6215799249,,N,7,10,10270000 = 3.357|10A14841 = 0,N MATANZAS AVE|W JOHN F KENNEDY BLVD,16000,32000,,IS|U|3|D,Y,10,0.108102369513228,On-System / Off-System,On Corridor,"447012-1, 445362-2",2,2580,0.49,100,0,0.5,Verified Match,"447012-1, 445362-2",2
59099,134549,70070000,4.439,4.45,SUBURBAN COMMERCIAL,PALM BAY-MELBOURNE,URBAN MINOR ART,DIVIDED,,SR  524,5,BREVARD,14000,2,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-03647,Potential Location,0.850000024,1,5729.0211825,0.00387009829132799,0.00163269771665399,0.00647636760939418,0.0117161178741375,0.03809930356955,11751.3409750802,,1480329.63279962,0.583114965988684,0.0583114965988684,16.6370308086288,95313.9019165394,5729.0211825,93881.6466209144,,N,5,70,70070000 = 4.446,SR-524,7900,15800,,IS|U|1|U,Y,10,0.108846531859045,On-System / Off-System,On Corridor,"454218-1, 437983-1",3,58,0.01,100,0,0.7,Verified Parallel Fallback,"454218-1, 437983-1",3
76165,146828,72230000,2.3,3.078,SUBURBAN COMMERCIAL,JACKSONVILLE,URBAN MINOR ART,DIVIDED,,SR  101,2,DUVAL,14600,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01662,Potential Location,0.850000024,1,8593.53177375,0.00388006610252396,0.00163690288700229,0.00649304811844243,0.0117462938650628,0.0381974319983628,13172.2942130985,,2214790.04395311,0.584616834791227,0.0584616834791227,12.4325025321715,106839.105537443,8593.53177375,105406.850241818,,N,2,72,72230000 = 2.856,MAYPORT RD,7000,14000,,IS|U|3|D,Y,10,0.109126876593787,On-System / Off-System,On Corridor,208512-3,2,4121,0.78,100,0,1,Verified Match,208512-3,2
28876,64843,15050004,0.404,0.49,SUBURBAN RESIDENTIAL,TAMPA-ST PETERSBURG,URBAN MINOR ART,DIVIDED,,SR  590,7,PINELLAS,11000,2,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01919,Potential Location,0.850000024,1,5729.0211825,0.00390246861933416,0.0016463539487816,0.00653053733016701,0.0118141139843124,0.0384179742751795,11849.6316987882,,1468050.54475428,0.587992264003739,0.0587992264003739,16.7761864847342,96111.1277326124,5729.0211825,94678.8724369874,,N,7,15,15050004 = .472,NE COACHMAN RD,5200,10400,,IS|U|1|U,Y,10,0.109756947479885,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
32212,77347,16590000,23.315,23.572,SUBURBAN RESIDENTIAL,WINTER HAVEN,URBAN MINOR ART,DIVIDED,,SR  559,1,POLK,13000,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-00614,Potential Location,0.850000024,1,11458.042365,0.00390788627430988,0.00164863952197448,0.00653960343716545,0.0118305150882428,0.0384713085488897,13266.7398947287,,2932030.6581909,0.588808552237035,0.0588808552237035,9.39123291659747,107605.144617956,11458.042365,106172.889322331,,N,1,16,16590000 = 23.514|16A19272 = .847,BERKLEY RD|LAKE MYRTLE PARK RD,5200,10400,,IS|U|3|D,Y,10,0.109909319050457,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
90156,204779,86170000,4.093,4.111,URBAN GENERAL,MIAMI,URBAN MINOR ART,DIVIDED,,SR  811,4,BROWARD,22500,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04838,Potential Location,0.850000024,1,8593.53177375,0.00393333195343441,0.00165937441785514,0.00658218519082539,0.0119075479059049,0.0387218093322086,7313.56404070002,,2184796.98013958,0.592642500421375,0.0592642500421375,6.90281449717279,59319.5557097565,8593.53177375,57887.3004141315,,N,4,86,86170000 = 4.109,N DIXIE HWY,12700,25400,,IS|U|2|U,Y,10,0.110624978890339,On-System / Off-System,On Corridor,446999-1,2,95,0.02,100,0.7,0.6,Verified Match,446999-1,2
24085,64621,15050003,2.338,2.682,URBAN GENERAL,TAMPA-ST PETERSBURG,URBAN MINOR ART,DIVIDED,,SR  590,7,PINELLAS,27000,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-00374,Potential Location,0.850000024,1,8593.53177375,0.00393651135746874,0.00166071572893213,0.0065875057247641,0.011917173054837,0.038753109074581,7319.47576523577,,2183032.38410464,0.593121547188611,0.0593121547188611,6.90839420326432,59367.5050913422,8593.53177375,57935.2497957172,,N,7,15,15050003 = 2.427,DREW ST,12500,25000,,IS|U|2|U,Y,10,0.110714399643112,On-System / Off-System,On Corridor,445681-1,1,1808,0.34,100,0,0.7,Verified Match,445681-1,1
118615,282603,94010000,11.776,11.987,URBAN GENERAL,PORT SAINT LUCIE,URBAN PRIN ART OTHER,DIVIDED,US    1,SR    5,4,ST. LUCIE,32000,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-04591,Potential Location,0.850000024,1,8593.53177375,0.00395952362104412,0.00167042402762799,0.00662601530959102,0.0119868390871453,0.038979654022482,7362.26433873337,,2170344.86878093,0.596588848089507,0.0596588848089507,6.94877965470891,59714.5587515285,8593.53177375,58282.3034559035,,N,4,94,94010000 = 11.969,S US HWY 1,14250,28500,,IS|U|2|U,Y,10,0.111361619659725,On-System / Off-System,On Corridor,441714-1,2,859,0.16,77,0,1.4,Verified Match,441714-1,2
40231,91510,36010000,16.234,16.262,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   25,5,MARION,31500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02880,Potential Location,0.850000024,1,8593.53177375,0.00397314766717654,0.0016761716720901,0.00664881429929074,0.012028083758054,0.039113776370384,13488.2934056437,,2162902.68915599,0.598641608665365,0.0598641608665365,12.7307543551209,109402.142054537,8593.53177375,107969.886758912,,N,5,36,36010000 = 16.248,US-441,13500,27000,,IS|U|3|D,Y,10,0.111744796018507,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
40176,92268,36010000,15.804,15.819,SUBURBAN COMMERCIAL,2153,URBAN PRIN ART OTHER,DIVIDED,US   27,SR   25,5,MARION,31500,4,45,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-02894,Potential Location,0.850000024,1,8593.53177375,0.00397350119776174,0.00167632081780573,0.00664940591062941,0.0120291540166615,0.0391172567132779,13489.493593671,,2162710.25124913,0.598694875781507,0.0598694875781507,12.7318871373415,109411.876654543,8593.53177375,107979.621358918,,N,5,36,36010000 = 15.809,US-441,13500,27000,,IS|U|3|D,Y,10,0.111754739067807,On-System / Off-System,Off Corridor,,0,0,0,0,,,Unmatched,,0
4158,14239,08002000,1.307,1.442,SUBURBAN COMMERCIAL,BROOKSVILLE,URBAN PRIN ART OTHER,DIVIDED,,SR   50,7,HERNANDO,16700,4,40,1,0,SGNLBK,Install Yellow Retroreflective Backplates,,Point,SGNLBK-01638,Potential Location,0.850000024,1,11458.042365,0.00397390877692256,0.0016764927652642,0.00665008796888135,0.0120303878988867,0.0391212691390634,13490.877269227,,2883317.91397417,0.598756286497879,0.0598756286497879,9.54989482645098,109423.09950277,11458.042365,107990.844207145,,N,7,8,08002000 = 1.363|08A04031 = .357,BUCK HOPE RD|CORTEZ BLVD,7750,15500,,IS|U|3|D,Y,10,0.111766202233539,On-System / Off-System,On Corridor,"448035-1, 416735-1",2,712,0.13,100,0,0,Verified Match,"448035-1, 416735-1",2
